mz,diff,reference,formula,formula_isotopefree,formula_ion,homseries,totalc,H.C,O.C,C,H,O,N,S,P,Cl,Na,C13
864.2645718,0.3624491,865.2721618,C_39 H_48 O_21 C13_1,C40H48O21,C_39 H_47 O_21 C13_1,361,40,1.2,0.525,39,48,21,0,0,0,0,0,1
865.0947573,0.5730607,866.1025301,C_35 H_30 O_26,C35H30O26,C_35 H_29 O_26,340,35,0.857,0.743,35,30,26,0,0,0,0,0,0
865.1102098,0.3463526,866.1177862,C_39 H_30 O_23,C39H30O23,C_39 H_29 O_23,102,39,0.769,0.59,39,30,23,0,0,0,0,0,0
865.1312576,0.4404365,866.1389155,C_36 H_34 O_25,C36H34O25,C_36 H_33 O_25,355,36,0.944,0.694,36,34,25,0,0,0,0,0,0
865.1468187,0.0882857,866.1541716,C_40 H_34 O_22,C40H34O22,C_40 H_33 O_22,121,40,0.85,0.55,40,34,22,0,0,0,0,0,0
865.1680244,2.30E-06,866.1753009,C_37 H_38 O_24,C37H38O24,C_37 H_37 O_24,363,37,1.027,0.649,37,38,24,0,0,0,0,0,0
865.1832122,0.0788949,866.190557,C_41 H_38 O_21,C41H38O21,C_41 H_37 O_21,132,41,0.927,0.512,41,38,21,0,0,0,0,0,0
865.2040554,0.4091958,866.2116862,C_38 H_42 O_23,C38H42O23,C_38 H_41 O_23,361,38,1.105,0.605,38,42,23,0,0,0,0,0,0
865.2195375,0.1483214,866.2269424,C_42 H_42 O_20,C42H42O20,C_42 H_41 O_20,155,42,1,0.476,42,42,20,0,0,0,0,0,0
865.2407285,0.0769964,866.2480716,C_39 H_46 O_22,C39H46O22,C_39 H_45 O_22,387,39,1.179,0.564,39,46,22,0,0,0,0,0,0
865.2561379,0.0999777,866.2633278,C_43 H_46 O_19,C43H46O19,C_43 H_45 O_19,209,43,1.07,0.442,43,46,19,0,0,0,0,0,0
865.2769376,0.2804668,866.284457,C_40 H_50 O_21,C40H50O21,C_40 H_49 O_21,391,40,1.25,0.525,40,50,21,0,0,0,0,0,0
865.2923949,0.0483031,866.2997131,C_44 H_50 O_18,C44H50O18,C_44 H_49 O_18,229,44,1.136,0.409,44,50,18,0,0,0,0,0,0
865.3136203,0.0627758,866.3208424,C_41 H_54 O_20,C41H54O20,C_41 H_53 O_20,376,41,1.317,0.488,41,54,20,0,0,0,0,0,0
865.329041,0.2526605,866.3360985,C_45 H_54 O_17,C45H54O17,C_45 H_53 O_17,237,45,1.2,0.378,45,54,17,0,0,0,0,0,0
865.3501269,0.2026011,866.3572278,C_42 H_58 O_19,C42H58O19,C_42 H_57 O_19,379,42,1.381,0.452,42,58,19,0,0,0,0,0,0
866.1866843,0.0563795,867.1939118,C_40 H_38 O_21 C13_1,C41H38O21,C_40 H_37 O_21 C13_1,132,41,0.927,0.512,40,38,21,0,0,0,0,0,1
867.0901679,0.4532106,868.0970509,C_38 H_28 O_24,C38H28O24,C_38 H_27 O_24,121,38,0.737,0.632,38,28,24,0,0,0,0,0,0
867.1117493,0.9740991,868.1181801,C_35 H_32 O_26,C35H32O26,C_35 H_31 O_26,363,35,0.914,0.743,35,32,26,0,0,0,0,0,0
867.126608,0.516228,868.1334362,C_39 H_32 O_23,C39H32O23,C_39 H_31 O_23,132,39,0.821,0.59,39,32,23,0,0,0,0,0,0
867.1481475,0.9888437,868.1545655,C_36 H_36 O_25,C36H36O25,C_36 H_35 O_25,361,36,1,0.694,36,36,25,0,0,0,0,0,0
867.1627736,0.2630994,868.1698216,C_40 H_36 O_22,C40H36O22,C_40 H_35 O_22,155,40,0.9,0.55,40,36,22,0,0,0,0,0,0
867.199363,0.4980531,868.206207,C_41 H_40 O_21,C41H40O21,C_41 H_39 O_21,209,41,0.976,0.512,41,40,21,0,0,0,0,0,0
867.2205977,0.619562,868.2273362,C_38 H_44 O_23,C38H44O23,C_38 H_43 O_23,391,38,1.158,0.605,38,44,23,0,0,0,0,0,0
867.2358415,0.60535,868.2425924,C_42 H_44 O_20,C42H44O20,C_42 H_43 O_20,229,42,1.048,0.476,42,44,20,0,0,0,0,0,0
867.2724264,0.8350616,868.2789778,C_43 H_48 O_19,C43H48O19,C_43 H_47 O_19,237,43,1.116,0.442,43,48,19,0,0,0,0,0,0
867.2930932,0.3024265,868.300107,C_40 H_52 O_21,C40H52O21,C_40 H_51 O_21,379,40,1.3,0.525,40,52,21,0,0,0,0,0,0
867.3084358,0.4020634,868.3153631,C_44 H_52 O_18,C44H52O18,C_44 H_51 O_18,270,44,1.182,0.409,44,52,18,0,0,0,0,0,0
867.3287823,0.4993528,868.3364924,C_41 H_56 O_20,C41H56O20,C_41 H_55 O_20,354,41,1.366,0.488,41,56,20,0,0,0,0,0,0
867.3450122,0.6220137,868.3517485,C_45 H_56 O_17,C45H56O17,C_45 H_55 O_17,278,45,1.244,0.378,45,56,17,0,0,0,0,0,0
868.1299119,0.422465,869.1375555,C_62 H_19 O_4 N_3,C62H19N3O4,C_62 H_18 O_4 N_3,4,62,0.306,0.065,62,19,4,3,0,0,0,0,0
869.1058861,0.5305977,870.1127009,C_38 H_30 O_24,C38H30O24,C_38 H_29 O_24,155,38,0.789,0.632,38,30,24,0,0,0,0,0,0
869.1267137,0.1838924,870.1338301,C_35 H_34 O_26,C35H34O26,C_35 H_33 O_26,387,35,0.971,0.743,35,34,26,0,0,0,0,0,0
869.1422935,0.5558596,870.1490862,C_39 H_34 O_23,C39H34O23,C_39 H_33 O_23,209,39,0.872,0.59,39,34,23,0,0,0,0,0,0
869.1786366,0.5072146,870.1854716,C_40 H_38 O_22,C40H38O22,C_40 H_37 O_22,229,40,0.95,0.55,40,38,22,0,0,0,0,0,0
