watershed,duplicate,sample_id,ftms_name,treatment,date,trip
rb06,no,HOTW_0050,Sample54_erin_mass_listhotw_0050_5ppm_8m_000001.csv,burn,2023-08-28,august
rb07,no,HOTW_0051,Sample55_erin_mass_listhotw_0051_5ppm_8m_000001.csv,burn,2023-08-29,august
rb08,no,HOTW_0052,Sample56_erin_mass_listhotw_0052_5ppm_8m_000001.csv,burn,2023-08-31,august
rb09,no,HOTW_0053,Sample57_erin_mass_listhotw_0053_5ppm_8m_000001.csv,burn,2023-08-31,august
rb10,no,HOTW_0054,Sample58_erin_mass_listhotw_0054_5ppm_8m_000001.csv,burn,2023-08-30,august
ct01,no,HOTW_0055,Sample59_erin_mass_listhotw_0055_5ppm_8m_000001.csv,control,2023-09-04,august
ct02,no,HOTW_0056,Sample60_erin_mass_listhotw_0056_5ppm_8m_000001.csv,control,2023-09-04,august
ct03,no,HOTW_0057,Sample61_erin_mass_listhotw_0057_5ppm_8m_000001.csv,control,2023-09-03,august
ct04,no,HOTW_0058,Sample62_erin_mass_listhotw_0058_5ppm_8m_000001.csv,control,2023-09-03,august
ct05,no,HOTW_0059,Sample63_erin_mass_listhotw_0059_5ppm_8m_000001.csv,control,2023-09-03,august
ct06,no,HOTW_0060,Sample64_erin_mass_listhotw_0060_5ppm_8m_000001.csv,control,2023-09-05,august
ct07,no,HOTW_0061,Sample65_erin_mass_listhotw_0061_5ppm_8m_000001.csv,control,2023-09-05,august
ct08,no,HOTW_0062,Sample66_erin_mass_listhotw_0062_5ppm_8m_000001.csv,control,2023-09-05,august
ct09,no,HOTW_0063,Sample67_erin_mass_listhotw_0063_5ppm_8m_000001.csv,control,2023-09-02,august
ct10,no,HOTW_0064,Sample68_erin_mass_listhotw_0064_5ppm_8m_000001.csv,control,2023-09-02,august
rb04,yes,HOTW_0065,Sample69_erin_mass_listhotw_0065_5ppm_8m_000001.csv,burn,2023-08-30,august
ct07,yes,HOTW_0066,Sample70_erin_mass_listhotw_0066_5ppm_8m_000001.csv,control,2023-09-05,august
