watershed,duplicate,sample_id,ftms_name,treatment,date,trip,IC,TOC.mgL,TN.mgL,fi,hix,mhix,bix,a254,a300,E2_E3,S275_295,S350_400,SR,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,SUVA,burn_mean,burn_sd,temp,do2_mg_l,cond_us_cm,ph,orp_mv,GFE,NOSC,AI_Mod,DBE_1,h.c.wtavg,o.c.wtavg,transformations,bc
ct05,no,HOTW_0015,Sample18_erin_mass_listhotw_0015_5ppm_8m_000001.csv,control,6/14/2023,june,5.132,23.92,0.4967,1.229809435,20.96687081,0.954476903,0.3749545,273.1662739,157.8300816,4.7127287,0.012986303,0.016934124,0.766871836,3.641268479,3.213485828,2.547949576,5.785686377,3.904214524,1.181403273,0.681452281,4.959640694,-7.308572512,26.44137156,10.8,6.84,19.7,6.29,208.9,61.3640349,-0.037334558,0.329049436,12.17742384,1.074536269,0.514240251,349,0.022449298
ct06,no,HOTW_0016,Sample19_erin_mass_listhotw_0016_5ppm_8m_000001.csv,control,6/15/2023,june,5.963,46.61,1.088,1.22906501,19.8252657,0.951981405,0.376100833,242.8947447,138.1310795,5.092984884,0.013339662,0.018470011,0.722233547,6.314574179,5.538062759,4.473981191,9.206737776,4.171411606,1.302121113,0.378600419,2.263202045,3.847073565,13.71526554,8.8,5.44,23.1,6.35,316.4,62.15448882,-0.065069783,0.316378217,11.71768897,1.096551012,0.50974113,421,0.019470319
ct02,no,HOTW_0002,Sample2_erin_mass_listhotw_0002_5ppm_8m_000002.csv,control,6/5/2023,june,2.087,22.74,0.4682,1.095754743,16.53042544,0.942956319,0.387650106,248.9650258,147.2197437,4.537193735,0.012379116,0.017040027,0.726472794,2.319530896,1.964984547,1.782932242,3.263440893,3.759906444,0.953073581,0.097373647,4.754799336,26.12760064,31.9752372,7.4,12.12,10.3,5.39,215.1,61.73460695,-0.050337086,0.317094468,11.55577573,1.093079526,0.517673984,445,0.021101462
ct07,no,HOTW_0017,Sample20_erin_mass_listhotw_0017_5ppm_8m_000001.csv,control,6/15/2023,june,1.232,29.53,0.5362,1.095364737,14.7312204,0.936432141,0.339924725,190.1591568,114.9747993,4.215778272,0.011812371,0.015726183,0.751127668,2.994127703,2.719009345,2.617228727,3.019170133,3.206572279,0.808644103,0.119281413,2.796649932,14.56593674,22.8912526,5.6,18.59,8.4,5.4,272.2,61.21376815,-0.03206204,0.326394211,12.10708108,1.077247211,0.518779865,279,0.023481298
ct08,no,HOTW_0018,Sample21_erin_mass_listhotw_0018_5ppm_8m_000001.csv,control,6/15/2023,june,1.872,36.16,0.6041,1.190774574,18.04668062,0.947497413,0.344506475,224.4912371,132.3837078,4.552475551,0.012314592,0.016924616,0.727614261,4.139655075,3.542643706,3.294173767,4.820569052,3.393866347,0.82453055,0.041518523,2.696219732,11.98772549,27.11047789,8.9,11.72,11.1,5.63,258.8,61.61302463,-0.04607104,0.322407529,12.03840263,1.084761733,0.515524067,334,0.022037619
ct09,no,HOTW_0019,Sample22_erin_mass_listhotw_0019_5ppm_8m_000001.csv,control,6/18/2023,june,21.67,33.85,1.01,1.368576663,6.768891174,0.871281502,0.472659193,179.8413697,89.93506809,5.992916105,0.01773408,0.017013988,1.04232354,4.320905895,4.915067272,2.225879057,9.900367745,11.12786807,6.363383841,1.06063294,2.307359365,39.12174412,74.57938962,18,5.32,110.6,7.23,175.6,58.45841823,0.064616904,0.340920955,11.49112081,1.043318444,0.547598004,371,0.025654513
ct10,no,HOTW_0020,Sample23_erin_mass_listhotw_0020_5ppm_8m_000001.csv,control,6/18/2023,june,18.83,23.75,0.7348,1.270721148,17.0422874,0.944574655,0.424741561,249.6372234,141.5931336,4.67574792,0.013722157,0.015976373,0.858903174,3.713629373,3.479951756,2.089064172,6.658586005,4.590464821,1.517763343,0.700732215,4.564887099,9.138988799,36.8348214,13.7,5.25,76.9,7.25,145.2,58.86792937,0.050248092,0.341249024,11.73559587,1.044585325,0.541708353,374,0.024084792
ct03,no,HOTW_0028,Sample31_erin_mass_listhotw_0028_5ppm_8m_000001.csv,control,7/24/2023,july,8.439,13.46,0.3567,1.168966035,16.74906584,0.943659007,0.372998133,152.0835059,92.05235702,4.311419634,0.011911593,0.016329035,0.729473154,1.696686197,1.568901118,1.304725608,1.132478817,2.535214639,0.454219023,0,4.907059985,-8.412427113,18.00719541,8.7,14.03,54.5,7.73,150.2,59.9208929,0.013302003,0.339574064,11.79010203,1.05475731,0.529490181,310,0.025682771
ct04,no,HOTW_0034,Sample37_erin_mass_listhotw_0034_5ppm_8m_000001.csv,control,7/24/2023,july,2.231,44.15,0.8764,1.314102282,5.483007622,0.845750606,0.478917697,246.9031702,144.1044934,4.552917751,0.012775432,0.016556775,0.771613538,6.041850603,3.098572606,3.659355621,10.12909223,12.19252448,27.88195894,6.483574775,2.428735773,-0.716914378,16.88655743,12.4,6.45,27.3,6.17,177,58.9724708,0.046579972,0.351834546,12.20802352,1.032654291,0.534108016,481,0.027316893
ct05,no,HOTW_0035,Sample38_erin_mass_listhotw_0035_5ppm_8m_000001.csv,control,7/24/2023,july,6.19,26.71,0.5505,1.166659523,22.10924931,0.956727283,0.390184271,291.1063883,167.0689738,4.877976522,0.013204738,0.018169498,0.726753035,3.965343865,3.451149636,2.774979165,7.724284195,4.283982848,1.074283234,0.347549365,4.733279599,-7.308572512,26.44137156,12.8,6.6,41.3,6.67,141.5,63.26755312,-0.104124671,0.311361459,11.7217668,1.110737816,0.498893626,327,0.019188375
ct06,no,HOTW_0036,Sample39_erin_mass_listhotw_0036_5ppm_8m_000001.csv,control,7/26/2023,july,9.559,45.48,1.256,1.227813674,21.32350346,0.955204164,0.387585838,234.2507949,133.0818445,5.017446496,0.013543109,0.018511642,0.73159953,6.884398062,6.34782577,4.614949568,8.475958066,3.588102002,2.170365875,0.373301995,2.236891548,3.847073565,13.71526554,13.6,2.38,55.2,6.15,142.4,63.3917963,-0.108484081,0.304659235,11.42787945,1.120452425,0.500422992,347,0.017327419
