watershed,duplicate,sample_id,ftms_name,treatment,date,trip,IC,TOC.mgL,TN.mgL,fi,hix,mhix,bix,a254,a300,E2_E3,S275_295,S350_400,SR,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,SUVA,burn_mean,burn_sd,temp,do2_mg_l,cond_us_cm,ph,orp_mv,GFE,NOSC,AI_Mod,DBE_1,h.c.wtavg,o.c.wtavg,transformations,bc
ct07,no,HOTW_0037,Sample40_erin_mass_listhotw_0037_5ppm_8m_000001.csv,control,7/26/2023,july,1.347,36.96,0.6748,1.201621216,21.00050703,0.954546502,0.376303803,222.1016686,135.1357262,4.236858877,0.011814907,0.016278563,0.725795436,3.432340303,3.11367006,2.769869834,3.501151863,0.787608459,0.795679609,0.191706952,2.609781631,14.56593674,22.8912526,9.6,10.87,16.3,5.48,218.5,63.29697639,-0.105157066,0.314643037,11.79578805,1.106911234,0.496892932,456,0.01992534
ct08,no,HOTW_0038,Sample41_erin_mass_listhotw_0038_5ppm_8m_000001.csv,control,7/26/2023,july,2.094,46.36,0.7805,1.211022605,19.73436126,0.95177088,0.361185017,276.1171737,163.631418,4.518214818,0.012363362,0.016927031,0.730391637,5.133924459,4.161347819,4.015548052,8.505804487,3.494384732,1.666661586,0.325977185,2.586629959,11.98772549,27.11047789,12.5,8.75,23.6,5.68,234.1,62.78475463,-0.087184373,0.317710805,11.96427742,1.099806246,0.50220326,281,0.021781359
ct09,no,HOTW_0039,Sample42_erin_mass_listhotw_0039_5ppm_8m_000001.csv,control,7/23/2023,july,37.49,35.67,1.093,1.302969566,14.09147076,0.933737406,0.477325023,240.4034777,120.5830322,6.356076937,0.017161387,0.018198216,0.943025787,3.800176613,5.173060352,1.870360728,8.067853579,1.841426689,1.781969094,1.391259618,2.92699478,39.12174412,74.57938962,15.6,4.67,257.4,7.49,395.4,62.57480397,-0.079817683,0.310713029,11.27577081,1.108790734,0.508684257,459,0.017910681
ct10,no,HOTW_0040,Sample43_erin_mass_listhotw_0040_5ppm_8m_000001.csv,control,7/23/2023,july,21.64,16,0.6954,1.323977729,15.03734394,0.937645535,0.425814917,156.3173149,87.77472565,4.789341893,0.014289468,0.016595983,0.861019705,2.696078116,2.831954606,1.458038233,3.042375452,3.472980119,0.957059655,0.292633184,4.242984206,9.138988799,36.8348214,12.5,5.56,143.5,7.26,171.2,63.44041922,-0.110190148,0.302796005,11.33831062,1.123436513,0.501243485,357,0.017005052
ct01,no,HOTW_0041,Sample44_erin_mass_listhotw_0041_5ppm_8m_000001.csv,control,7/25/2023,july,6.222,26.85,0.5041,1.228210809,21.03294759,0.954613426,0.404569954,261.2679487,149.461925,5.078541478,0.01335853,0.018716913,0.713714373,3.622259795,3.224175762,2.474924541,5.003240988,3.600444958,0.917638844,0.088931072,4.225967538,72.01596157,148.1869872,11.4,7.22,38.2,7.23,213.8,64.45850657,-0.145912511,0.299009669,11.40541881,1.134711068,0.490396556,329,0.0166441
ct02,no,HOTW_0042,Sample45_erin_mass_listhotw_0042_5ppm_8m_000001.csv,control,7/25/2023,july,3.741,17.79,0.3308,1.14334462,16.72445671,0.943580781,0.376968418,219.5252548,131.5475167,4.416387849,0.012044706,0.017297375,0.696331438,1.982157448,1.706633751,1.498914102,2.186891291,2.734262705,0.61197144,0.05079653,5.359112243,26.12760064,31.9752372,9.8,7.01,24,5.63,180.6,65.36578401,-0.177746807,0.296132735,11.33058659,1.144993007,0.480899293,341,0.016149108
ct01,no,HOTW_0055,Sample59_erin_mass_listhotw_0055_5ppm_8m_000001.csv,control,9/4/2023,august,8.347,30.74,0.7059,1.225390422,26.48872537,0.963621449,0.401785836,278.5904342,159.4192252,5.046812989,0.013445585,0.018591817,0.723199078,3.958094769,3.627675924,2.697528559,6.48544539,0.830046195,0.612247692,0.293672843,3.935923497,72.01596157,148.1869872,11.9,5.55,48.3,7.38,98.7,61.7369806,-0.050420372,0.313980488,11.77026697,1.095046341,0.517827908,307,0.019403858
ct02,no,HOTW_0056,Sample60_erin_mass_listhotw_0056_5ppm_8m_000001.csv,control,9/4/2023,august,4.221,24.56,0.4735,1.167837156,17.1611431,0.944937387,0.395808613,141.6558544,87.06242533,4.08364275,0.011468027,0.015868905,0.722672854,2.144003427,1.905810999,1.43964955,1.851870062,0.925776236,0.450965078,0.149961168,2.504900485,26.12760064,31.9752372,10.8,8.1,29.5,6,98.5,63.81355053,-0.123282475,0.306385626,11.66465757,1.119884361,0.495070647,332,0.018725234
ct03,no,HOTW_0057,Sample61_erin_mass_listhotw_0057_5ppm_8m_000001.csv,control,9/3/2023,august,10.48,14.43,0.3665,1.222665834,27.46736989,0.964872062,0.402037991,160.7481799,97.47782775,4.304256147,0.011978098,0.016429402,0.729064756,1.770299963,1.592544627,1.286782138,1.30960831,0.464136209,0.219658044,0.053188405,4.83797973,-8.412427113,18.00719541,10.8,9.54,64.8,7.23,112,63.80806805,-0.123090107,0.31125633,11.73686343,1.116320817,0.492548332,226,0.022590977
ct04,no,HOTW_0058,Sample62_erin_mass_listhotw_0058_5ppm_8m_000001.csv,control,9/3/2023,august,5.367,50.37,0.9571,1.120684543,26.26557038,0.963323709,0.357985303,275.2243689,163.9480416,4.423772436,0.012464342,0.016631762,0.749430071,5.823294178,4.785478311,4.400763697,9.702344121,1.851079839,0.97655714,0.301279713,2.373008233,-0.716914378,16.88655743,12.8,5.2,32.2,6.46,46.9,62.60491024,-0.080874043,0.318524515,11.93562374,1.097788106,0.503743355,266,0.022500804
ct05,no,HOTW_0059,Sample63_erin_mass_listhotw_0059_5ppm_8m_000001.csv,control,9/3/2023,august,9.254,31.48,0.7643,1.228529162,24.6243557,0.960974629,0.403063503,156.7736949,91.53447754,4.525863303,0.012909106,0.016681536,0.773855916,4.393177127,4.28648777,2.798936458,3.972008722,1.092599354,0.545285383,0.279488161,2.162831976,-7.308572512,26.44137156,13.9,4.35,54.1,6.66,89.5,63.082648,-0.097636772,0.312010474,11.57909906,1.109634935,0.501142819,309,0.01869277
ct06,no,HOTW_0060,Sample64_erin_mass_listhotw_0060_5ppm_8m_000001.csv,control,9/5/2023,august,8.592,41.95,1.471,1.233491849,17.96614776,0.94727448,0.439485614,349.0551087,201.3239775,4.808547209,0.013332283,0.017465984,0.763328457,4.811437577,4.155754773,3.409192804,14.67564534,2.562883614,2.229789854,0.730649426,3.613652148,3.847073565,13.71526554,13.6,3.76,52.9,6.31,208.8,62.32164234,-0.070934819,0.310262356,11.6694406,1.104751571,0.510916257,340,0.01957185
ct07,no,HOTW_0061,Sample65_erin_mass_listhotw_0061_5ppm_8m_000001.csv,control,9/5/2023,august,1.887,40.24,0.7003,1.122465229,21.1544716,0.954862385,0.364821885,247.9417563,152.3164515,4.169039272,0.011632321,0.016286893,0.714213614,3.833303098,3.331705026,3.125639455,4.86895335,1.310807247,0.682228905,0.239753679,2.675937788,14.56593674,22.8912526,11.2,10.3,19.1,6.56,192.8,63.18536859,-0.101241003,0.315363223,11.86607182,1.105283956,0.498639662,279,0.022051799
ct08,no,HOTW_0062,Sample66_erin_mass_listhotw_0062_5ppm_8m_000001.csv,control,9/5/2023,august,3.225,47.2,0.8273,1.161944548,23.21022518,0.958695138,0.385364417,273.0624345,163.848992,4.408239746,0.012111527,0.016923879,0.715647241,5.020285326,4.339247861,3.816035591,7.711791236,2.002796498,0.824598173,0.321648667,2.512489587,11.98772549,27.11047789,13.1,6.73,28,6.08,194.2,63.98725703,-0.12937744,0.306771433,11.76066337,1.122795503,0.492304992,209,0.020562877
ct09,no,HOTW_0063,Sample67_erin_mass_listhotw_0063_5ppm_8m_000001.csv,control,9/2/2023,august,50.79,28.15,0.951,1.271574952,12.67988542,0.926899973,0.517458851,195.1804488,93.64007303,6.840938251,0.018583004,0.018265039,1.017408415,3.20002223,4.824422913,1.570757418,5.895007997,1.504574684,1.644394676,1.227569847,3.011218185,39.12174412,74.57938962,14.5,4.33,306.3,7.32,242,64.39569495,-0.143708595,0.292191422,10.86056927,1.14575246,0.495435493,300,0.016049765
ct10,no,HOTW_0064,Sample68_erin_mass_listhotw_0064_5ppm_8m_000001.csv,control,9/2/2023,august,26.09,13.05,0.6245,1.36858818,19.33271199,0.950818169,0.45866757,100.6339222,56.99454686,4.639090702,0.014277586,0.016098308,0.886899763,1.926079509,1.989088879,0.971586069,1.815448619,0.630541789,0.394040666,0.209996684,3.349023533,9.138988799,36.8348214,12.1,7.81,161.2,7.33,72,64.30510632,-0.140530046,0.301603046,11.25417236,1.132758131,0.491105929,286,0.017830146
rb09,yes,HOTW_0022,Sample25_erin_mass_listhotw_0022_5ppm_8m_000001.csv,burn,6/12/2023,june,8.54,42.82,0.8335,1.157976345,14.75745615,0.93653798,0.377793295,301.4384487,182.7075346,4.220990106,0.011831576,0.015960056,0.741324232,5.442768854,4.362088922,4.189234739,12.62321395,5.38504926,2.465513085,0.810910145,3.057287597,367.6752802,145.1677841,15.5,1.56,15.3,5.13,153.6,,,,,,,310,
rb01,yes,HOTW_0043,Sample46_erin_mass_listhotw_0043_5ppm_8m_000001.csv,burn,7/20/2023,july,1.597,26.52,0.6957,1.112577373,16.01860999,0.941240795,0.34735859,189.9184296,116.6521911,4.043223886,0.011485678,0.015380424,0.746772483,3.20893176,2.92494421,2.422363876,4.173288897,3.602104921,1.403455886,0.152571013,3.110125415,299.0340721,197.1052781,15.6,9.21,22.7,6.69,187.9,,,,,,,304,
rb04,yes,HOTW_0065,Sample69_erin_mass_listhotw_0065_5ppm_8m_000001.csv,burn,8/30/2023,august,7.177,29.05,0.4998,1.211596812,17.23455516,0.945159068,0.364217141,170.0267769,102.9481229,4.348926639,0.011967865,0.016634369,0.7194661,3.390453983,2.995969592,2.551950271,3.086963489,3.215603547,0.840726476,0.13557339,2.541882651,356.0769795,155.1876643,10.5,8.19,40.4,6.5,106.6,,,,,,,283,
ct01,yes,HOTW_0021,Sample24_erin_mass_listhotw_0021_5ppm_8m_000001.csv,control,6/5/2023,june,6.234,16.28,0.38,1.153490312,17.14123616,0.944876965,0.403153471,183.7009673,106.6496965,4.766084053,0.012869168,0.016947963,0.759334186,2.474697661,2.289899843,1.667481211,2.371935729,2.850535466,0.812638527,0.419517773,4.900510835,72.01596157,148.1869872,9.4,7.26,18.7,7.59,188,,,,,,,362,
ct10,yes,HOTW_0044,Sample47_erin_mass_listhotw_0044_5ppm_8m_000001.csv,control,7/23/2023,july,21.59,16.12,0.7314,1.275373752,15.1733602,0.93816993,0.437442123,155.5879824,87.23289031,4.794200666,0.014394338,0.016603298,0.866956587,2.694720753,2.793281516,1.44731413,3.198638757,3.650855508,0.911833708,0.351060511,4.191749516,9.138988799,36.8348214,12.5,5.56,143.5,7.26,171.2,,,,,,,368,
ct07,yes,HOTW_0066,Sample70_erin_mass_listhotw_0066_5ppm_8m_000001.csv,control,9/5/2023,august,1.708,42.09,0.7511,1.161364979,19.35282125,0.950866763,0.378903663,250.724339,154.5830076,4.113704792,0.011567558,0.016077974,0.719466164,3.900532833,3.349085458,3.229458566,5.342485646,1.508122756,0.615267139,0.393355281,2.587032476,14.56593674,22.8912526,11.2,10.3,19.1,6.56,192.8,,,,,,,276,
